teamID_seasonID,blockedShots,faceoffWinPctg,faceoffs,faceoffsLost,faceoffsWon,gamesPlayed,giveaways,goalsFor,hits,losses,missedShots,otLosses,points,shootingPctg,shotsFor,takeaways,teamAbbrev,teamFullName,ties,wins
24_20122013,776,0.4754,2907,1525,1382,48,379,134,1149,12,524,6,66,0.0994,1347,280,ANA,Anaheim Ducks,0,30
19_20122013,677,0.5072,2835,1397,1438,48,219,124,1120,17,539,2,60,0.0928,1336,292,STL,St. Louis Blues,0,29
13_20122013,605,0.4935,2719,1377,1342,48,287,109,1110,27,505,6,36,0.0778,1400,307,FLA,Florida Panthers,0,15
14_20122013,680,0.5115,2932,1432,1500,48,396,147,1105,26,503,4,40,0.1111,1323,316,TBL,Tampa Bay Lightning,0,18
12_20122013,667,0.502,2994,1491,1503,48,333,127,1100,25,642,4,42,0.0822,1545,426,CAR,Carolina Hurricanes,0,19
15_20122013,765,0.5076,2923,1439,1484,48,403,146,1091,18,553,3,57,0.1081,1350,307,WSH,Washington Capitals,0,27
7_20122013,718,0.4623,2898,1558,1340,48,385,118,1079,21,460,6,48,0.0881,1339,300,BUF,Buffalo Sabres,0,21
8_20122013,702,0.4975,3013,1514,1499,48,394,146,1067,14,580,5,63,0.0994,1468,260,MTL,Montréal Canadiens,0,29
22_20122013,754,0.4612,2747,1480,1267,48,479,123,1060,22,482,7,45,0.0957,1285,307,EDM,Edmonton Oilers,0,19
28_20122013,800,0.5338,3010,1403,1607,48,477,116,1031,16,633,7,57,0.076,1526,343,SJS,San Jose Sharks,0,25
23_20122013,566,0.4759,2868,1503,1365,48,342,122,1020,15,563,7,59,0.0903,1350,324,VAN,Vancouver Canucks,0,26
2_20122013,766,0.497,2754,1385,1369,48,475,135,1018,17,526,7,55,0.0909,1485,382,NYI,New York Islanders,0,24
18_20122013,703,0.4972,2777,1396,1381,48,388,109,995,23,464,9,41,0.0876,1244,314,NSH,Nashville Predators,0,16
30_20122013,614,0.5245,2835,1348,1487,48,315,118,956,19,494,3,55,0.0853,1382,262,MIN,Minnesota Wild,0,26
20_20122013,699,0.4664,3008,1605,1403,48,418,128,935,25,518,4,42,0.0989,1293,342,CGY,Calgary Flames,0,19
1_20122013,515,0.4818,2779,1440,1339,48,334,110,892,19,558,10,48,0.0807,1362,297,NJD,New Jersey Devils,0,19
17_20122013,560,0.508,2730,1343,1387,48,366,122,865,16,612,8,56,0.0843,1447,285,DET,Detroit Red Wings,0,24
16_20122013,652,0.5077,2828,1392,1436,48,345,149,840,7,500,5,77,0.0997,1494,467,CHI,Chicago Blackhawks,0,36
29_20132014,1081,0.5155,4824,2337,2487,82,449,226,2609,32,905,7,93,0.0929,2431,487,CBJ,Columbus Blue Jackets,0,43
26_20132014,927,0.5275,4870,2301,2569,82,867,198,2609,28,1188,8,100,0.0763,2595,344,LAK,Los Angeles Kings,0,46
